Edges in form: from to edge_char

From Node No. - To Node No. - Char on the Edge
================================================
817: 21 - 3 - x
818: 21 - 3 - y
819: 21 - 3 - z
820: 20 - 3 - 0
821: 20 - 3 - 1
822: 20 - 3 - 2
823: 20 - 3 - 3
824: 20 - 3 - 4
825: 20 - 3 - 5
826: 20 - 3 - 6
827: 20 - 3 - 7
828: 20 - 3 - 8
829: 20 - 3 - 9
830: 20 - 3 - A
831: 20 - 3 - B
832: 20 - 3 - C
833: 20 - 3 - D
834: 20 - 3 - E
835: 20 - 3 - F
836: 20 - 3 - G
837: 20 - 3 - H
838: 20 - 3 - I
839: 20 - 3 - J
840: 20 - 3 - K
841: 20 - 3 - L
842: 20 - 3 - M
843: 20 - 3 - N
844: 20 - 3 - O
845: 20 - 3 - P
846: 20 - 3 - Q
847: 20 - 3 - R
848: 20 - 3 - S
849: 20 - 3 - T
850: 20 - 3 - U
851: 20 - 3 - V
852: 20 - 3 - W
853: 20 - 3 - X
854: 20 - 3 - Y
855: 20 - 3 - Z
856: 20 - 3 - a
857: 20 - 3 - b
858: 20 - 3 - c
859: 20 - 3 - d
860: 20 - 3 - e
861: 20 - 3 - f
862: 20 - 3 - g
863: 20 - 3 - h
864: 20 - 3 - i
865: 20 - 3 - j
866: 20 - 3 - k
867: 20 - 3 - l
868: 20 - 3 - m
869: 20 - 3 - n
870: 20 - 3 - o
871: 20 - 3 - p
872: 20 - 3 - q
873: 20 - 3 - r
874: 20 - 12 - s
875: 20 - 3 - t
876: 20 - 3 - u
877: 20 - 3 - v
878: 20 - 3 - w
879: 20 - 3 - x
880: 20 - 3 - y
881: 20 - 3 - z
882: 27 - 3 - 0
883: 27 - 3 - 1
884: 27 - 3 - 2
885: 27 - 3 - 3
886: 27 - 3 - 4
887: 27 - 3 - 5
888: 27 - 3 - 6
889: 27 - 3 - 7
890: 27 - 3 - 8
891: 27 - 3 - 9
892: 27 - 3 - A
893: 27 - 3 - B
894: 27 - 3 - C
895: 27 - 3 - D
896: 27 - 3 - E
897: 27 - 3 - F
898: 27 - 3 - G
899: 27 - 3 - H
900: 27 - 3 - I
901: 27 - 3 - J
902: 27 - 3 - K
903: 27 - 3 - L
904: 27 - 3 - M
905: 27 - 3 - N
906: 27 - 3 - O
907: 27 - 3 - P
908: 27 - 3 - Q
909: 27 - 3 - R
910: 27 - 3 - S
911: 27 - 3 - T
912: 27 - 3 - U
913: 27 - 3 - V
914: 27 - 3 - W
915: 27 - 3 - X
916: 27 - 3 - Y
917: 27 - 3 - Z
918: 27 - 3 - a
919: 27 - 3 - b
920: 27 - 3 - c
921: 27 - 3 - d
922: 27 - 3 - e
923: 27 - 3 - f
924: 27 - 3 - g
925: 27 - 3 - h
926: 27 - 3 - i
927: 27 - 3 - j
928: 27 - 3 - k
929: 27 - 3 - l
930: 27 - 3 - m
931: 27 - 3 - n
932: 27 - 26 - o
933: 27 - 3 - p
934: 27 - 3 - q
935: 27 - 3 - r
936: 27 - 3 - s
937: 27 - 3 - t
938: 27 - 3 - u
939: 27 - 3 - v
940: 27 - 3 - w
941: 27 - 3 - x
942: 27 - 3 - y
943: 27 - 3 - z
944: 26 - 3 - 0
945: 26 - 3 - 1
946: 26 - 3 - 2
947: 26 - 3 - 3
948: 26 - 3 - 4
949: 26 - 3 - 5
950: 26 - 3 - 6
951: 26 - 3 - 7
952: 26 - 3 - 8
953: 26 - 3 - 9
954: 26 - 3 - A
955: 26 - 3 - B
956: 26 - 3 - C
957: 26 - 3 - D
958: 26 - 3 - E
959: 26 - 3 - F
960: 26 - 3 - G
961: 26 - 3 - H
962: 26 - 3 - I
963: 26 - 3 - J
964: 26 - 3 - K
965: 26 - 3 - L
966: 26 - 3 - M
967: 26 - 3 - N
968: 26 - 3 - O
969: 26 - 3 - P
970: 26 - 3 - Q
971: 26 - 3 - R
972: 26 - 3 - S
973: 26 - 3 - T
974: 26 - 3 - U
975: 26 - 3 - V
976: 26 - 3 - W
977: 26 - 3 - X
978: 26 - 3 - Y
979: 26 - 3 - Z
980: 26 - 3 - a
981: 26 - 3 - b
982: 26 - 3 - c
983: 26 - 3 - d
984: 26 - 3 - e
985: 26 - 3 - f
986: 26 - 3 - g
987: 26 - 3 - h
988: 26 - 3 - i
989: 26 - 3 - j
990: 26 - 3 - k
991: 26 - 3 - l
992: 26 - 3 - m
993: 26 - 3 - n
994: 26 - 25 - o
995: 26 - 3 - p
996: 26 - 3 - q
997: 26 - 3 - r
998: 26 - 3 - s
999: 26 - 3 - t
1000: 26 - 3 - u
1001: 26 - 3 - v
1002: 26 - 3 - w
1003: 26 - 3 - x
1004: 26 - 3 - y
1005: 26 - 3 - z
1006: 25 - 3 - 0
1007: 25 - 3 - 1
1008: 25 - 3 - 2
1009: 25 - 3 - 3
1010: 25 - 3 - 4
1011: 25 - 3 - 5
1012: 25 - 3 - 6
1013: 25 - 3 - 7
1014: 25 - 3 - 8
1015: 25 - 3 - 9
1016: 25 - 3 - A
1017: 25 - 3 - B
1018: 25 - 3 - C
1019: 25 - 3 - D
1020: 25 - 3 - E
1021: 25 - 3 - F
1022: 25 - 3 - G
1023: 25 - 3 - H
1024: 25 - 3 - I
1025: 25 - 3 - J
1026: 25 - 3 - K
1027: 25 - 3 - L
1028: 25 - 3 - M
1029: 25 - 3 - N
1030: 25 - 3 - O
1031: 25 - 3 - P
1032: 25 - 3 - Q
1033: 25 - 3 - R
1034: 25 - 3 - S
1035: 25 - 3 - T
1036: 25 - 3 - U
1037: 25 - 3 - V
1038: 25 - 3 - W
1039: 25 - 3 - X
1040: 25 - 3 - Y
1041: 25 - 3 - Z
1042: 25 - 3 - a
1043: 25 - 3 - b
1044: 25 - 3 - c
1045: 25 - 3 - d
1046: 25 - 3 - e
1047: 25 - 3 - f
1048: 25 - 3 - g
1049: 25 - 3 - h
1050: 25 - 3 - i
1051: 25 - 3 - j
1052: 25 - 3 - k
1053: 25 - 24 - l
1054: 25 - 3 - m
1055: 25 - 3 - n
1056: 25 - 3 - o
1057: 25 - 3 - p
1058: 25 - 3 - q
1059: 25 - 3 - r
1060: 25 - 3 - s
1061: 25 - 3 - t
1062: 25 - 3 - u
1063: 25 - 3 - v
1064: 25 - 3 - w
1065: 25 - 3 - x
1066: 25 - 3 - y
1067: 25 - 3 - z
